股票代號,產業名稱
5281,
5283,電器電纜
5284,其他
5285,電子–半導體
5287,數位雲端
5288,電機機械
5289,電子–電腦及週邊設備
5291,電子–電子零組件
5292,綠能環保
5299,電子–半導體
5301,觀光餐旅
5302,電子–半導體
5304,
5305,
5306,運動休閒
5307,
5309,電子–電子零組件
5310,電子–資訊服務
5312,生技醫療
5313,
5314,電子–半導體
5315,電子–光電
5317,
5318,
5321,數位雲端
5324,建材營建
5325,
5328,電子–電子零組件
5332,
5333,
5336,
5340,電子–電子零組件
5343,
5344,電子–半導體
5345,其他
5346,
5347,電子–半導體
5348,電子–通信網路
5349,
5351,電子–半導體
5353,電子–通信網路
5355,電子–電子零組件
5356,電子–電腦及週邊設備
5364,觀光餐旅
5371,電子–光電
5372,
5375,
5376,
5381,電子–電子零組件
5383,
5384,
5385,
5386,電子–電腦及週邊設備
5387,
5388,電子–通信網路
5392,電子–光電
5395,
5398,其他
5401,
5403,電子–資訊服務
5410,電子–資訊服務
5414,
5425,電子–半導體
5426,電子–電腦及週邊設備
5432,綠能環保
5434,電子–電子通路
5436,
5438,電子–電腦及週邊設備
5439,電子–電子零組件
5441,
5442,
5443,電子–光電
5448,
5450,其他
5452,電子–其他電子
5455,建材營建
5457,電子–電子零組件
5460,電子–電子零組件
5464,電子–電子零組件
5465,電子–電腦及週邊設備
5466,
5468,電子–半導體
5469,電子–電子零組件
5471,電子–半導體
5473,
5474,電子–電腦及週邊設備
5475,電子–電子零組件
5478,文化創意
5480,
5481,其他
5483,電子–半導體
5484,電子–光電
5487,電子–半導體
5488,電子–電子零組件
5489,電子–其他電子
5490,電子–電腦及週邊設備
5491,
5492,
5493,電子–其他電子
5494,
5497,
5498,電子–電子零組件
5501,
5502,
5503,
5504,
5505,
5507,
5508,建材營建
5511,建材營建
5512,建材營建
5513,
5514,建材營建
5515,建材營建
5516,建材營建
5518,
5519,建材營建
5520,建材營建
5521,建材營建
5522,建材營建
5523,建材營建
5524,
5525,建材營建
5526,
5528,
5529,建材營建
5530,其他
5531,建材營建
5532,
5533,建材營建
5534,建材營建
5536,電子–其他電子
5538,鋼鐵工業
5543,建材營建
5546,建材營建
5548,建材營建
5601,航運業
5602,
5603,航運業
5604,其他
5605,
5607,航運業
5608,航運業
5609,航運業
5701,觀光餐旅
5702,
5703,觀光餐旅
5704,觀光餐旅
5706,觀光餐旅
5801,
5810,
5817,
5818,
5819,
5820,
5854,
5864,金融保險
5871,其他
5876,金融保險
5878,金融保險
5880,金融保險
5901,
5902,居家生活
5903,居家生活
5904,居家生活
5905,觀光餐旅
5906,貿易百貨
5907,貿易百貨
6001,
6002,
6003,
6004,
6005,金融保險
6007,
6008,
6009,
6010,
6012,
6013,
6014,
6015,金融保險
6016,金融保險
6017,
6018,
6020,金融保險
6021,金融保險
6022,
6023,金融保險
6024,金融保險
6026,金融保險
6101,文化創意
6103,電子–半導體
6104,電子–半導體
6105,
6107,
6108,電子–電子零組件
6109,電子–通信網路
6110,
6111,文化創意
6112,電子–資訊服務
6113,電子–電子通路
